,Age,SkinType,SkinConcerns,SkinTyone,Skin Brightening
0,25-34,Normal,Blackheads,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
3,18-24,Combination,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
6,18-24,Oily,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
9,13-17,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
12,35-44,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
15,18-24,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
18,55-120,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
21,18-24,Oily,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
24,25-34,Combination,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
27,13-17,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
30,25-34,Combination,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
33,18-24,Combination,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
36,35-44,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
39,25-34,Dry,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
42,25-34,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
45,18-24,Oily,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
48,25-34,Combination,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
51,25-34,Oily,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
54,18-24,Oily,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
57,18-24,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
60,25-34,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
63,25-34,Oily,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
66,18-24,Combination,Calluses,Dark,"Lactic Acid,Glycolic Acid,Licorice"
72,13-17,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
75,18-24,Dry,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
78,25-34,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
81,18-24,Combination,Redness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
84,25-34,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
87,18-24,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
93,25-34,Dry,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
96,25-34,Combination,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
99,18-24,Oily,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
105,18-24,Combination,Sensitivity,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
108,25-34,Normal,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
114,18-24,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
123,25-34,Dry,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
126,55-120,Dry,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
135,25-34,Combination,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
138,18-24,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
141,18-24,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
144,18-24,Dry,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
147,35-44,Combination,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
150,25-34,Normal,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
162,25-34,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
168,25-34,Combination,Cellulite,Dark,"Lactic Acid,Glycolic Acid,Licorice"
174,25-34,Combination,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
180,25-34,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
183,18-24,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
192,25-34,Normal,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
195,25-34,Combination,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
198,18-24,Dry,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
201,55-120,Dry,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
219,35-44,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
222,13-17,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
225,45-54,Combination,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
228,25-34,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
231,35-44,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
243,35-44,Combination,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
246,35-44,Combination,Redness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
249,25-34,Normal,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
258,25-34,Oily,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
261,25-34,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
264,25-34,Combination,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
267,13-17,Dry,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
273,18-24,Combination,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
276,18-24,Combination,Blackheads,Tan,"Lactic Acid,Glycolic Acid,Licorice"
279,25-34,Normal,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
285,35-44,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
288,35-44,Combination,Sun damage,Medium,"Lactic Acid,Glycolic Acid,Licorice"
291,55-120,Combination,Uneven skin tones,Deep,"Lactic Acid,Glycolic Acid,Licorice"
297,18-24,Combination,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
303,18-24,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
306,18-24,Dry,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
318,25-34,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
336,55-120,Combination,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
339,25-34,Combination,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
342,18-24,Normal,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
345,45-54,Combination,Sun damage,Light,"Lactic Acid,Glycolic Acid,Licorice"
351,18-24,Normal,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
369,18-24,Dry,Aging,Deep,"Lactic Acid,Glycolic Acid,Licorice"
387,25-34,Dry,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
396,45-54,Combination,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
405,25-34,Combination,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
411,45-54,Dry,Dullness,Light,"Lactic Acid,Glycolic Acid,Licorice"
414,25-34,Combination,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
426,18-24,Dry,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
429,13-17,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
432,18-24,Dry,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
438,18-24,Normal,Dark circles,Medium,"Lactic Acid,Glycolic Acid,Licorice"
444,25-34,Dry,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
456,18-24,Dry,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
459,18-24,Oily,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
468,25-34,Normal,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
471,13-17,Normal,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
483,25-34,Normal,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
486,25-34,Normal,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
495,18-24,Dry,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
504,18-24,Oily,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
519,18-24,Normal,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
531,25-34,Combination,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
534,25-34,Oily,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
540,18-24,Combination,Blackheads,Olive,"Lactic Acid,Glycolic Acid,Licorice"
543,25-34,Dry,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
549,35-44,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
564,55-120,Normal,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
570,25-34,Normal,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
573,13-17,Combination,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
576,25-34,Dry,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
582,18-24,Combination,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
585,18-24,Combination,Sensitivity,Light,"Lactic Acid,Glycolic Acid,Licorice"
591,25-34,Dry,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
594,45-54,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
597,18-24,Dry,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
600,55-120,Normal,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
603,25-34,Oily,Dark circles,Medium,"Lactic Acid,Glycolic Acid,Licorice"
612,18-24,Normal,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
627,25-34,Normal,Dullness,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
630,25-34,Normal,Redness,Light,"Lactic Acid,Glycolic Acid,Licorice"
633,18-24,Combination,Blackheads,Light,"Lactic Acid,Glycolic Acid,Licorice"
642,45-54,Combination,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
657,18-24,Combination,Blackheads,Dark,"Lactic Acid,Glycolic Acid,Licorice"
660,25-34,Oily,Pores,Medium,"Lactic Acid,Glycolic Acid,Licorice"
669,25-34,Dry,Dark circles,Medium,"Lactic Acid,Glycolic Acid,Licorice"
675,25-34,Normal,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
684,55-120,Combination,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
687,25-34,Normal,Dullness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
690,25-34,Combination,Blackheads,Light,"Lactic Acid,Glycolic Acid,Licorice"
702,18-24,Dry,Redness,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
717,35-44,Normal,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
720,25-34,Combination,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
723,45-54,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
729,45-54,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
732,25-34,Dry,Blackheads,Light,"Lactic Acid,Glycolic Acid,Licorice"
744,35-44,Dry,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
747,18-24,Combination,Dark circles,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
750,18-24,Normal,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
753,45-54,Dry,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
756,18-24,Combination,Aging,Olive,"Lactic Acid,Glycolic Acid,Licorice"
759,18-24,Combination,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
768,25-34,Oily,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
774,18-24,Combination,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
789,25-34,Combination,Redness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
792,18-24,Normal,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
801,18-24,Combination,Redness,Light,"Lactic Acid,Glycolic Acid,Licorice"
810,25-34,Dry,Redness,Tan,"Lactic Acid,Glycolic Acid,Licorice"
828,25-34,Combination,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
831,18-24,Oily,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
837,25-34,Normal,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
840,18-24,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
843,25-34,Combination,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
846,25-34,Combination,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
855,25-34,Oily,Acne,Dark,"Lactic Acid,Glycolic Acid,Licorice"
858,13-17,Oily,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
867,13-17,Combination,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
879,25-34,Combination,Sun damage,Olive,"Lactic Acid,Glycolic Acid,Licorice"
894,25-34,Dry,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
900,18-24,Combination,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
909,35-44,Combination,Aging,Dark,"Lactic Acid,Glycolic Acid,Licorice"
924,18-24,Combination,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
930,55-120,Dry,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
933,18-24,Normal,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
936,55-120,Combination,Blackheads,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
939,18-24,Combination,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
948,18-24,Dry,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
954,18-24,Normal,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
957,55-120,Normal,Sensitivity,Fair,"Lactic Acid,Glycolic Acid,Licorice"
969,18-24,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
978,55-120,Combination,Blackheads,Tan,"Lactic Acid,Glycolic Acid,Licorice"
981,18-24,Dry,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
987,25-34,Dry,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
993,25-34,Dry,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1005,18-24,Normal,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1014,25-34,Dry,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1020,55-120,Normal,Dullness,Deep,"Lactic Acid,Glycolic Acid,Licorice"
1023,18-24,Combination,Dark circles,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1038,18-24,Dry,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1044,45-54,Normal,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1047,25-34,Dry,Cellulite,Light,"Lactic Acid,Glycolic Acid,Licorice"
1050,35-44,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1056,18-24,Oily,Redness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1059,25-34,Combination,Aging,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1071,18-24,Combination,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
1077,18-24,Normal,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1086,55-120,Dry,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1098,13-17,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1101,55-120,Normal,Dark circles,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1107,55-120,Normal,Sensitivity,Light,"Lactic Acid,Glycolic Acid,Licorice"
1116,25-34,Combination,Blackheads,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1125,35-44,Combination,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1137,35-44,Combination,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1143,18-24,Combination,Sensitivity,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1155,35-44,Combination,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1158,18-24,Combination,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1191,13-17,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1215,18-24,Oily,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1218,13-17,Normal,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1224,25-34,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1263,25-34,Combination,Dark circles,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1269,13-17,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1275,18-24,Normal,Blackheads,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1281,25-34,Normal,Aging,Dark,"Lactic Acid,Glycolic Acid,Licorice"
1296,35-44,Normal,Aging,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1326,25-34,Normal,Sun damage,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1338,13-17,Dry,Redness,Light,"Lactic Acid,Glycolic Acid,Licorice"
1347,25-34,Dry,Aging,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
1356,18-24,Normal,Aging,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1371,35-44,Combination,Dark circles,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1383,18-24,Dry,Redness,Light,"Lactic Acid,Glycolic Acid,Licorice"
1389,55-120,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1401,55-120,Oily,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1404,25-34,Normal,Dullness,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1428,25-34,Oily,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1431,18-24,Normal,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1446,18-24,Dry,Aging,Dark,"Lactic Acid,Glycolic Acid,Licorice"
1455,25-34,Oily,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1473,13-17,Oily,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
1479,18-24,Combination,Dullness,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1482,18-24,Combination,Acne,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
1485,25-34,Normal,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
1488,25-34,Dry,Puffiness,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1494,55-120,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1500,25-34,Combination,Acne,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
1509,18-24,Normal,Blackheads,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1515,18-24,Normal,Redness,Light,"Lactic Acid,Glycolic Acid,Licorice"
1524,25-34,Combination,Dullness,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1536,55-120,Oily,Aging,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1548,18-24,Dry,Cuticles,Light,"Lactic Acid,Glycolic Acid,Licorice"
1551,25-34,Combination,Blackheads,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1557,13-17,Dry,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
1596,35-44,Dry,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1605,25-34,Combination,Redness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1611,45-54,Oily,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1620,18-24,Combination,Blackheads,Deep,"Lactic Acid,Glycolic Acid,Licorice"
1635,18-24,Combination,Sensitivity,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1644,45-54,Dry,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1647,25-34,Normal,Blackheads,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1653,25-34,Dry,Dullness,Light,"Lactic Acid,Glycolic Acid,Licorice"
1659,25-34,Normal,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1668,25-34,Oily,Aging,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
1674,25-34,Oily,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1677,55-120,Combination,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1680,25-34,Dry,Dullness,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1686,25-34,Dry,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1692,18-24,Normal,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1704,55-120,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
1707,35-44,Normal,Aging,Tan,"Lactic Acid,Glycolic Acid,Licorice"
1710,18-24,Dry,Dullness,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1713,18-24,Dry,Dullness,Light,"Lactic Acid,Glycolic Acid,Licorice"
1719,35-44,Oily,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1728,45-54,Normal,Redness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1734,25-34,Dry,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1743,25-34,Normal,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
1758,25-34,Oily,Acne,Fair,"Lactic Acid,Glycolic Acid,Licorice"
1764,18-24,Combination,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1770,55-120,Oily,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1782,18-24,Oily,Redness,Olive,"Lactic Acid,Glycolic Acid,Licorice"
1803,18-24,Oily,Blackheads,Light,"Lactic Acid,Glycolic Acid,Licorice"
1827,18-24,Normal,Dullness,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1836,18-24,Dry,Dark circles,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1863,25-34,Dry,Redness,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1887,55-120,Dry,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
1896,55-120,Combination,Dark circles,Light,"Lactic Acid,Glycolic Acid,Licorice"
1929,35-44,Combination,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
1935,25-34,Dry,Dullness,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
1962,25-34,Combination,Redness,Light,"Lactic Acid,Glycolic Acid,Licorice"
1968,13-17,Normal,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
1995,45-54,Dry,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2001,25-34,Normal,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
2019,55-120,Combination,Pores,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2040,18-24,Normal,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
2043,55-120,Normal,Cellulite,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2064,25-34,Oily,Sensitivity,Tan,"Lactic Acid,Glycolic Acid,Licorice"
2082,25-34,Normal,Dark circles,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2088,13-17,Normal,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2091,25-34,Normal,Sun damage,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2100,18-24,Combination,Uneven skin tones,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
2103,35-44,Normal,Uneven skin tones,Fair,"Lactic Acid,Glycolic Acid,Licorice"
2127,18-24,Dry,Puffiness,Light,"Lactic Acid,Glycolic Acid,Licorice"
2145,18-24,Combination,Sun damage,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2148,25-34,Dry,Sensitivity,Fair,"Lactic Acid,Glycolic Acid,Licorice"
2154,18-24,Oily,Aging,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
2157,25-34,Dry,Sun damage,Fair,"Lactic Acid,Glycolic Acid,Licorice"
2172,13-17,Combination,Acne,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2190,25-34,Combination,Calluses,Fair,"Lactic Acid,Glycolic Acid,Licorice"
2193,55-120,Dry,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2196,25-34,Dry,Dark circles,Deep,"Lactic Acid,Glycolic Acid,Licorice"
2199,25-34,Normal,Cellulite,Dark,"Lactic Acid,Glycolic Acid,Licorice"
2202,55-120,Dry,Blackheads,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2208,25-34,Dry,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2226,35-44,Dry,Aging,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2238,18-24,Dry,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2241,18-24,Dry,Dark circles,Dark,"Lactic Acid,Glycolic Acid,Licorice"
2244,25-34,Dry,Dullness,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2250,25-34,Normal,Dullness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2262,25-34,Combination,Sensitivity,Fair,"Lactic Acid,Glycolic Acid,Licorice"
2265,13-17,Normal,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
2271,55-120,Oily,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2304,13-17,Normal,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2319,35-44,Dry,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
2355,45-54,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2364,25-34,Dry,Acne,Deep,"Lactic Acid,Glycolic Acid,Licorice"
2409,25-34,Normal,Acne,Light,"Lactic Acid,Glycolic Acid,Licorice"
2412,25-34,Normal,Blackheads,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2421,25-34,Normal,Dark circles,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
2442,55-120,Combination,Acne,Tan,"Lactic Acid,Glycolic Acid,Licorice"
2451,45-54,Oily,Dullness,Ebony,"Lactic Acid,Glycolic Acid,Licorice"
2487,45-54,Combination,Dark circles,Deep,"Lactic Acid,Glycolic Acid,Licorice"
2517,18-24,Normal,Dark circles,Olive,"Lactic Acid,Glycolic Acid,Licorice"
2520,45-54,Dry,Acne,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
2526,35-44,Oily,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2529,25-34,Combination,Sun damage,Light,"Lactic Acid,Glycolic Acid,Licorice"
2544,55-120,Combination,Acne,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2547,13-17,Oily,Aging,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
2550,25-34,Combination,Dullness,Deep,"Lactic Acid,Glycolic Acid,Licorice"
2577,25-34,Dry,Blackheads,Porcelain,"Lactic Acid,Glycolic Acid,Licorice"
2589,55-120,Dry,Blackheads,Tan,"Lactic Acid,Glycolic Acid,Licorice"
2634,25-34,Oily,Aging,Light,"Lactic Acid,Glycolic Acid,Licorice"
2676,35-44,Combination,Aging,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2679,18-24,Normal,Sensitivity,Light,"Lactic Acid,Glycolic Acid,Licorice"
2682,18-24,Combination,Redness,Medium,"Lactic Acid,Glycolic Acid,Licorice"
2718,55-120,Dry,Dullness,Dark,"Lactic Acid,Glycolic Acid,Licorice"
2733,13-17,Oily,Dullness,Tan,"Lactic Acid,Glycolic Acid,Licorice"
