,Age,SkinType,SkinConcerns,SkinTyone,Anti-Acne
0,35-44,Dry,Sensitivity,Olive,Niacinamide
1,35-44,Combination,Acne,Olive,Niacinamide
2,25-34,Normal,Aging,Light,Niacinamide
3,35-44,Normal,Redness,Medium,Niacinamide
4,25-34,Combination,Acne,Medium,Niacinamide
5,18-24,Oily,Acne,Light,Niacinamide
6,13-17,Combination,Aging,Porcelain,Niacinamide
7,25-34,Combination,Dark circles,Fair,Niacinamide
8,25-34,Oily,Aging,Medium,Niacinamide
9,25-34,Combination,Aging,Light,Niacinamide
10,13-17,Normal,Dark circles,Medium,Niacinamide
11,25-34,Combination,Acne,Light,Niacinamide
12,25-34,Combination,Acne,Medium,Niacinamide
13,25-34,Combination,Aging,Fair,Niacinamide
14,25-34,Normal,Dark circles,Medium,Niacinamide
15,45-54,Dry,Aging,Light,Niacinamide
16,18-24,Normal,Acne,Olive,Niacinamide
17,25-34,Dry,Aging,Light,Niacinamide
18,25-34,Combination,Aging,Ebony,Niacinamide
19,35-44,Dry,Aging,Light,Niacinamide
20,18-24,Normal,Aging,Medium,Niacinamide
21,25-34,Dry,Aging,Medium,Niacinamide
22,25-34,Combination,Aging,Medium,Niacinamide
23,25-34,Combination,Acne,Tan,Niacinamide
24,25-34,Combination,Aging,Medium,Niacinamide
25,25-34,Combination,Acne,Medium,Niacinamide
26,25-34,Combination,Acne,Medium,Niacinamide
27,25-34,Combination,Sensitivity,Fair,Niacinamide
28,25-34,Normal,Sensitivity,Fair,Niacinamide
29,25-34,Oily,Acne,Medium,Niacinamide
30,18-24,Combination,Acne,Medium,Niacinamide
31,45-54,Dry,Acne,Medium,Niacinamide
32,25-34,Dry,Aging,Tan,Niacinamide
33,25-34,Dry,Acne,Light,Niacinamide
34,25-34,Combination,Acne,Olive,Niacinamide
35,18-24,Dry,Acne,Light,Niacinamide
36,18-24,Combination,Acne,Deep,Niacinamide
37,18-24,Combination,Aging,Fair,Niacinamide
38,25-34,Dry,Aging,Dark,Niacinamide
39,25-34,Combination,Acne,Light,Niacinamide
40,18-24,Combination,Acne,Medium,Niacinamide
41,35-44,Combination,Dark circles,Light,Niacinamide
42,25-34,Combination,Acne,Light,Niacinamide
43,18-24,Combination,Acne,Olive,Niacinamide
44,18-24,Combination,Dark circles,Deep,Niacinamide
45,18-24,Combination,Acne,Medium,Niacinamide
46,25-34,Combination,Redness,Light,Niacinamide
47,25-34,Combination,Sensitivity,Fair,Niacinamide
48,25-34,Combination,Acne,Light,Niacinamide
49,18-24,Oily,Acne,Tan,Niacinamide
50,25-34,Oily,Acne,Tan,Niacinamide
51,25-34,Combination,Acne,Deep,Niacinamide
52,18-24,Oily,Acne,Light,Niacinamide
53,25-34,Combination,Dark circles,Fair,Niacinamide
54,25-34,Combination,Acne,Dark,Niacinamide
55,25-34,Combination,Acne,Deep,Niacinamide
56,25-34,Combination,Acne,Fair,Niacinamide
57,25-34,Dry,Acne,Light,Niacinamide
58,18-24,Oily,Acne,Medium,Niacinamide
59,25-34,Combination,Acne,Deep,Niacinamide
60,35-44,Combination,Aging,Medium,Niacinamide
61,25-34,Combination,Blackheads,Light,Niacinamide
62,25-34,Combination,Aging,Light,Niacinamide
63,25-34,Combination,Acne,Medium,Niacinamide
64,18-24,Combination,Aging,Light,Niacinamide
65,25-34,Combination,Acne,Fair,Niacinamide
66,18-24,Combination,Acne,Light,Niacinamide
67,25-34,Combination,Acne,Medium,Niacinamide
68,25-34,Combination,Aging,Tan,Niacinamide
69,25-34,Combination,Acne,Medium,Niacinamide
70,25-34,Dry,Aging,Light,Niacinamide
71,18-24,Combination,Sun damage,Deep,Niacinamide
72,25-34,Combination,Aging,Medium,Niacinamide
73,18-24,Combination,Aging,Medium,Niacinamide
74,55-120,Combination,Acne,Light,Niacinamide
75,18-24,Combination,Acne,Light,Niacinamide
76,25-34,Oily,Acne,Fair,Niacinamide
77,25-34,Combination,Acne,Medium,Niacinamide
78,25-34,Dry,Dullness,Porcelain,Niacinamide
79,18-24,Combination,Aging,Medium,Niacinamide
80,18-24,Dry,Acne,Light,Niacinamide
81,18-24,Combination,Aging,Fair,Niacinamide
82,25-34,Oily,Acne,Medium,Niacinamide
83,25-34,Dry,Dark circles,Fair,Niacinamide
84,18-24,Oily,Acne,Fair,Niacinamide
85,35-44,Dry,Aging,Porcelain,Niacinamide
86,25-34,Combination,Acne,Light,Niacinamide
87,18-24,Dry,Aging,Fair,Niacinamide
88,18-24,Dry,Dark circles,Fair,Niacinamide
89,25-34,Dry,Dark circles,Medium,Niacinamide
90,18-24,Dry,Dark circles,Tan,Niacinamide
91,25-34,Combination,Dullness,Light,Niacinamide
92,18-24,Normal,Aging,Tan,Niacinamide
93,45-54,Dry,Acne,Light,Niacinamide
94,25-34,Normal,Aging,Medium,Niacinamide
95,25-34,Dry,Sensitivity,Light,Niacinamide
96,13-17,Combination,Redness,Medium,Niacinamide
97,25-34,Combination,Aging,Medium,Niacinamide
98,18-24,Normal,Aging,Light,Niacinamide
99,25-34,Combination,Acne,Olive,Niacinamide
100,55-120,Oily,Aging,Medium,Niacinamide
101,45-54,Combination,Acne,Fair,Niacinamide
102,18-24,Combination,Aging,Olive,Niacinamide
103,35-44,Combination,Acne,Medium,Niacinamide
104,18-24,Combination,Acne,Dark,Niacinamide
105,25-34,Combination,Acne,Light,Niacinamide
106,18-24,Normal,Dark circles,Light,Niacinamide
107,25-34,Combination,Aging,Tan,Niacinamide
108,13-17,Dry,Aging,Deep,Niacinamide
109,25-34,Combination,Acne,Porcelain,Niacinamide
110,25-34,Combination,Aging,Medium,Niacinamide
111,25-34,Combination,Acne,Fair,Niacinamide
112,18-24,Oily,Acne,Medium,Niacinamide
113,25-34,Combination,Aging,Tan,Niacinamide
114,18-24,Dry,Acne,Deep,Niacinamide
115,18-24,Combination,Aging,Light,Niacinamide
116,18-24,Oily,Dark circles,Deep,Niacinamide
117,25-34,Oily,Acne,Tan,Niacinamide
118,25-34,Combination,Acne,Fair,Niacinamide
119,13-17,Combination,Acne,Light,Niacinamide
120,25-34,Dry,Aging,Light,Niacinamide
121,35-44,Combination,Sun damage,Medium,Niacinamide
122,35-44,Oily,Acne,Light,Niacinamide
123,25-34,Combination,Acne,Olive,Niacinamide
124,25-34,Normal,Acne,Light,Niacinamide
125,35-44,Dry,Aging,Fair,Niacinamide
126,18-24,Normal,Dark circles,Tan,Niacinamide
127,18-24,Dry,Dark circles,Light,Niacinamide
128,25-34,Combination,Aging,Light,Niacinamide
129,25-34,Combination,Acne,Porcelain,Niacinamide
130,25-34,Combination,Aging,Light,Niacinamide
131,25-34,Combination,Aging,Light,Niacinamide
132,25-34,Combination,Aging,Tan,Niacinamide
133,18-24,Normal,Aging,Olive,Niacinamide
134,25-34,Combination,Aging,Olive,Niacinamide
135,18-24,Dry,Dark circles,Fair,Niacinamide
136,25-34,Combination,Acne,Light,Niacinamide
137,18-24,Combination,Aging,Porcelain,Niacinamide
138,45-54,Dry,Aging,Medium,Niacinamide
139,18-24,Oily,Acne,Medium,Niacinamide
140,25-34,Combination,Aging,Medium,Niacinamide
141,35-44,Combination,Aging,Medium,Niacinamide
142,25-34,Normal,Dark circles,Medium,Niacinamide
143,18-24,Dry,Aging,Light,Niacinamide
144,25-34,Normal,Aging,Medium,Niacinamide
145,25-34,Combination,Blackheads,Porcelain,Niacinamide
146,25-34,Dry,Aging,Porcelain,Niacinamide
147,55-120,Dry,Aging,Fair,Niacinamide
148,25-34,Combination,Sun damage,Medium,Niacinamide
149,25-34,Normal,Aging,Light,Niacinamide
150,18-24,Normal,Acne,Light,Niacinamide
151,25-34,Combination,Acne,Medium,Niacinamide
152,25-34,Combination,Acne,Light,Niacinamide
153,13-17,Combination,Acne,Tan,Niacinamide
154,25-34,Combination,Acne,Tan,Niacinamide
155,18-24,Combination,Aging,Olive,Niacinamide
156,35-44,Dry,Aging,Porcelain,Niacinamide
157,18-24,Oily,Acne,Fair,Niacinamide
158,25-34,Normal,Aging,Light,Niacinamide
159,25-34,Combination,Acne,Porcelain,Niacinamide
160,25-34,Combination,Acne,Light,Niacinamide
161,18-24,Combination,Acne,Medium,Niacinamide
162,25-34,Oily,Aging,Light,Niacinamide
163,25-34,Combination,Acne,Deep,Niacinamide
164,25-34,Normal,Aging,Light,Niacinamide
165,25-34,Normal,Aging,Fair,Niacinamide
166,25-34,Combination,Acne,Porcelain,Niacinamide
167,25-34,Combination,Acne,Fair,Niacinamide
168,25-34,Combination,Aging,Fair,Niacinamide
169,25-34,Combination,Acne,Light,Niacinamide
170,18-24,Combination,Acne,Fair,Niacinamide
171,25-34,Combination,Dark circles,Medium,Niacinamide
172,25-34,Combination,Acne,Fair,Niacinamide
173,18-24,Combination,Dark circles,Medium,Niacinamide
174,18-24,Combination,Acne,Fair,Niacinamide
175,13-17,Combination,Acne,Light,Niacinamide
176,45-54,Combination,Aging,Light,Niacinamide
177,25-34,Dry,Redness,Fair,Niacinamide
178,25-34,Combination,Acne,Porcelain,Niacinamide
179,18-24,Dry,Aging,Light,Niacinamide
180,25-34,Dry,Aging,Light,Niacinamide
181,25-34,Combination,Aging,Porcelain,Niacinamide
182,25-34,Oily,Acne,Fair,Niacinamide
183,25-34,Dry,Aging,Light,Niacinamide
184,18-24,Combination,Aging,Deep,Niacinamide
185,25-34,Oily,Acne,Light,Niacinamide
186,25-34,Dry,Aging,Medium,Niacinamide
187,25-34,Combination,Acne,Medium,Niacinamide
188,25-34,Dry,Aging,Light,Niacinamide
189,25-34,Normal,Acne,Light,Niacinamide
190,25-34,Combination,Acne,Light,Niacinamide
191,25-34,Combination,Aging,Fair,Niacinamide
192,18-24,Combination,Aging,Light,Niacinamide
193,25-34,Combination,Aging,Olive,Niacinamide
194,25-34,Combination,Acne,Porcelain,Niacinamide
195,25-34,Normal,Acne,Light,Niacinamide
196,25-34,Normal,Acne,Olive,Niacinamide
197,25-34,Dry,Blackheads,Medium,Niacinamide
198,18-24,Normal,Acne,Dark,Niacinamide
199,25-34,Normal,Sensitivity,Light,Niacinamide
200,18-24,Combination,Blackheads,Porcelain,Niacinamide
201,25-34,Combination,Acne,Medium,Niacinamide
202,25-34,Combination,Acne,Medium,Niacinamide
203,18-24,Dry,Aging,Fair,Niacinamide
204,25-34,Combination,Acne,Medium,Niacinamide
205,18-24,Combination,Dark circles,Deep,Niacinamide
206,25-34,Combination,Sensitivity,Fair,Niacinamide
207,25-34,Combination,Aging,Light,Niacinamide
208,25-34,Combination,Acne,Fair,Niacinamide
209,25-34,Combination,Aging,Porcelain,Niacinamide
210,18-24,Dry,Acne,Medium,Niacinamide
211,18-24,Dry,Blackheads,Porcelain,Niacinamide
212,25-34,Combination,Acne,Light,Niacinamide
213,25-34,Normal,Aging,Light,Niacinamide
214,18-24,Dry,Aging,Medium,Niacinamide
215,25-34,Combination,Acne,Medium,Niacinamide
216,35-44,Oily,Acne,Medium,Niacinamide
217,25-34,Combination,Acne,Porcelain,Niacinamide
218,25-34,Combination,Acne,Light,Niacinamide
219,18-24,Combination,Acne,Tan,Niacinamide
220,18-24,Dry,Aging,Porcelain,Niacinamide
221,18-24,Combination,Aging,Light,Niacinamide
222,18-24,Combination,Aging,Light,Niacinamide
223,18-24,Combination,Acne,Fair,Niacinamide
224,25-34,Normal,Sensitivity,Fair,Niacinamide
225,25-34,Combination,Acne,Light,Niacinamide
226,25-34,Combination,Aging,Olive,Niacinamide
227,35-44,Dry,Aging,Olive,Niacinamide
228,45-54,Dry,Redness,Fair,Niacinamide
229,25-34,Dry,Aging,Fair,Niacinamide
230,25-34,Normal,Aging,Fair,Niacinamide
231,18-24,Combination,Acne,Fair,Niacinamide
232,25-34,Combination,Aging,Porcelain,Niacinamide
233,18-24,Combination,Aging,Fair,Niacinamide
234,25-34,Normal,Aging,Light,Niacinamide
235,18-24,Normal,Aging,Light,Niacinamide
236,25-34,Combination,Aging,Light,Niacinamide
237,25-34,Dry,Aging,Light,Niacinamide
238,25-34,Normal,Dark circles,Medium,Niacinamide
239,18-24,Dry,Acne,Light,Niacinamide
240,18-24,Combination,Aging,Medium,Niacinamide
241,55-120,Combination,Aging,Tan,Niacinamide
242,25-34,Combination,Acne,Olive,Niacinamide
243,25-34,Oily,Acne,Light,Niacinamide
244,25-34,Combination,Aging,Fair,Niacinamide
245,25-34,Combination,Aging,Light,Niacinamide
246,25-34,Combination,Acne,Light,Niacinamide
247,18-24,Combination,Aging,Dark,Niacinamide
248,18-24,Combination,Aging,Tan,Niacinamide
249,18-24,Normal,Acne,Porcelain,Niacinamide
250,25-34,Combination,Aging,Tan,Niacinamide
251,25-34,Dry,Aging,Light,Niacinamide
252,25-34,Combination,Sun damage,Light,Niacinamide
253,13-17,Dry,Aging,Medium,Niacinamide
254,25-34,Combination,Aging,Fair,Niacinamide
255,25-34,Dry,Dullness,Light,Niacinamide
256,25-34,Combination,Acne,Fair,Niacinamide
257,25-34,Dry,Aging,Fair,Niacinamide
258,18-24,Oily,Acne,Light,Niacinamide
259,18-24,Combination,Cellulite,Medium,Niacinamide
260,25-34,Combination,Acne,Porcelain,Niacinamide
261,18-24,Combination,Acne,Tan,Niacinamide
262,18-24,Combination,Acne,Fair,Niacinamide
263,18-24,Combination,Acne,Medium,Niacinamide
264,18-24,Combination,Aging,Olive,Niacinamide
265,55-120,Normal,Aging,Medium,Niacinamide
266,25-34,Oily,Dark circles,Fair,Niacinamide
267,18-24,Combination,Aging,Medium,Niacinamide
268,45-54,Combination,Aging,Light,Niacinamide
269,25-34,Oily,Aging,Medium,Niacinamide
270,18-24,Combination,Acne,Medium,Niacinamide
271,25-34,Combination,Aging,Olive,Niacinamide
272,25-34,Combination,Acne,Medium,Niacinamide
273,25-34,Oily,Acne,Fair,Niacinamide
274,25-34,Combination,Blackheads,Medium,Niacinamide
275,25-34,Normal,Acne,Light,Niacinamide
276,25-34,Combination,Aging,Light,Niacinamide
277,25-34,Combination,Aging,Olive,Niacinamide
278,25-34,Combination,Dullness,Tan,Niacinamide
279,25-34,Combination,Acne,Medium,Niacinamide
280,25-34,Combination,Pores,Light,Niacinamide
281,25-34,Combination,Acne,Medium,Niacinamide
282,18-24,Combination,Aging,Light,Niacinamide
283,25-34,Combination,Aging,Medium,Niacinamide
284,35-44,Dry,Acne,Light,Niacinamide
285,18-24,Combination,Aging,Medium,Niacinamide
286,25-34,Combination,Acne,Fair,Niacinamide
287,18-24,Dry,Aging,Fair,Niacinamide
288,18-24,Combination,Aging,Light,Niacinamide
289,25-34,Combination,Dark circles,Tan,Niacinamide
290,55-120,Oily,Acne,Light,Niacinamide
291,25-34,Combination,Acne,Porcelain,Niacinamide
292,25-34,Combination,Aging,Olive,Niacinamide
293,18-24,Oily,Acne,Fair,Niacinamide
294,25-34,Combination,Acne,Tan,Niacinamide
295,25-34,Combination,Aging,Tan,Niacinamide
296,25-34,Combination,Dark circles,Dark,Niacinamide
297,18-24,Combination,Dark circles,Fair,Niacinamide
298,45-54,Combination,Dark circles,Fair,Niacinamide
299,25-34,Combination,Acne,Light,Niacinamide
300,18-24,Oily,Acne,Light,Niacinamide
301,18-24,Combination,Acne,Fair,Niacinamide
302,18-24,Combination,Acne,Medium,Niacinamide
303,25-34,Dry,Aging,Tan,Niacinamide
304,25-34,Dry,Acne,Light,Niacinamide
305,18-24,Combination,Aging,Medium,Niacinamide
306,25-34,Combination,Aging,Light,Niacinamide
307,25-34,Combination,Acne,Light,Niacinamide
308,25-34,Combination,Acne,Fair,Niacinamide
309,25-34,Combination,Acne,Fair,Niacinamide
310,18-24,Combination,Sun damage,Medium,Niacinamide
311,25-34,Combination,Acne,Medium,Niacinamide
312,45-54,Oily,Acne,Light,Niacinamide
313,35-44,Combination,Acne,Tan,Niacinamide
314,25-34,Combination,Acne,Medium,Niacinamide
315,55-120,Combination,Acne,Light,Niacinamide
316,25-34,Combination,Acne,Light,Niacinamide
317,18-24,Combination,Acne,Fair,Niacinamide
318,25-34,Combination,Acne,Light,Niacinamide
319,25-34,Dry,Acne,Olive,Niacinamide
320,25-34,Oily,Dark circles,Medium,Niacinamide
321,25-34,Combination,Acne,Fair,Niacinamide
322,18-24,Dry,Blackheads,Porcelain,Niacinamide
323,18-24,Combination,Acne,Light,Niacinamide
324,18-24,Combination,Aging,Light,Niacinamide
325,18-24,Combination,Acne,Porcelain,Niacinamide
326,25-34,Dry,Dark circles,Light,Niacinamide
327,25-34,Combination,Acne,Medium,Niacinamide
328,18-24,Normal,Dullness,Light,Niacinamide
329,25-34,Oily,Acne,Deep,Niacinamide
330,25-34,Normal,Acne,Light,Niacinamide
331,18-24,Combination,Aging,Fair,Niacinamide
332,25-34,Combination,Acne,Medium,Niacinamide
333,25-34,Combination,Sensitivity,Light,Niacinamide
334,18-24,Dry,Dark circles,Light,Niacinamide
335,25-34,Combination,Sun damage,Fair,Niacinamide
336,25-34,Combination,Aging,Fair,Niacinamide
337,25-34,Combination,Dullness,Light,Niacinamide
338,18-24,Normal,Acne,Medium,Niacinamide
339,18-24,Dry,Aging,Porcelain,Niacinamide
340,13-17,Combination,Aging,Fair,Niacinamide
341,35-44,Combination,Acne,Medium,Niacinamide
342,25-34,Combination,Acne,Light,Niacinamide
343,18-24,Dry,Aging,Medium,Niacinamide
344,25-34,Normal,Dark circles,Fair,Niacinamide
345,55-120,Dry,Aging,Fair,Niacinamide
346,25-34,Normal,Aging,Light,Niacinamide
347,18-24,Dry,Aging,Light,Niacinamide
348,18-24,Oily,Sensitivity,Fair,Niacinamide
349,25-34,Combination,Blackheads,Light,Niacinamide
350,55-120,Normal,Aging,Light,Niacinamide
351,18-24,Combination,Acne,Light,Niacinamide
352,25-34,Dry,Aging,Light,Niacinamide
353,25-34,Oily,Acne,Medium,Niacinamide
354,18-24,Oily,Sensitivity,Medium,Niacinamide
355,25-34,Combination,Acne,Fair,Niacinamide
356,25-34,Combination,Aging,Fair,Niacinamide
357,18-24,Combination,Acne,Olive,Niacinamide
358,25-34,Normal,Aging,Medium,Niacinamide
359,25-34,Oily,Acne,Light,Niacinamide
360,25-34,Normal,Aging,Olive,Niacinamide
361,13-17,Dry,Acne,Fair,Niacinamide
362,18-24,Combination,Acne,Light,Niacinamide
363,35-44,Oily,Acne,Light,Niacinamide
364,25-34,Combination,Aging,Olive,Niacinamide
365,18-24,Combination,Dark circles,Light,Niacinamide
366,25-34,Oily,Acne,Fair,Niacinamide
367,18-24,Combination,Acne,Porcelain,Niacinamide
368,25-34,Combination,Aging,Dark,Niacinamide
369,18-24,Combination,Blackheads,Tan,Niacinamide
370,25-34,Combination,Acne,Fair,Niacinamide
371,18-24,Oily,Acne,Deep,Niacinamide
372,13-17,Oily,Acne,Light,Niacinamide
373,25-34,Combination,Aging,Dark,Niacinamide
374,25-34,Combination,Aging,Olive,Niacinamide
375,25-34,Normal,Acne,Light,Niacinamide
376,55-120,Combination,Acne,Medium,Niacinamide
377,18-24,Combination,Blackheads,Tan,Niacinamide
378,25-34,Combination,Aging,Fair,Niacinamide
379,25-34,Combination,Acne,Medium,Niacinamide
380,25-34,Combination,Acne,Porcelain,Niacinamide
381,13-17,Combination,Aging,Fair,Niacinamide
382,55-120,Combination,Acne,Light,Niacinamide
383,25-34,Dry,Aging,Light,Niacinamide
384,25-34,Dry,Acne,Fair,Niacinamide
385,25-34,Combination,Aging,Porcelain,Niacinamide
386,18-24,Combination,Acne,Light,Niacinamide
387,25-34,Combination,Acne,Light,Niacinamide
388,25-34,Combination,Dark circles,Medium,Niacinamide
389,25-34,Normal,Cellulite,Light,Niacinamide
390,25-34,Combination,Dullness,Fair,Niacinamide
391,18-24,Normal,Blackheads,Medium,Niacinamide
392,18-24,Dry,Dullness,Porcelain,Niacinamide
393,25-34,Combination,Acne,Fair,Niacinamide
394,25-34,Combination,Aging,Medium,Niacinamide
395,55-120,Combination,Acne,Olive,Niacinamide
396,25-34,Dry,Aging,Fair,"Niacinamide,Salicylic Acid,Sulfur"
397,35-44,Combination,Aging,Light,"Niacinamide,Salicylic Acid,Sulfur"
398,25-34,Combination,Acne,Dark,"Niacinamide,Salicylic Acid,Sulfur"
399,25-34,Dry,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
400,18-24,Oily,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
401,18-24,Combination,Acne,Dark,"Niacinamide,Salicylic Acid,Sulfur"
402,13-17,Combination,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
403,55-120,Oily,Acne,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
404,25-34,Combination,Aging,Fair,"Niacinamide,Salicylic Acid,Sulfur"
405,25-34,Oily,Aging,Olive,"Niacinamide,Salicylic Acid,Sulfur"
406,25-34,Oily,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
407,25-34,Normal,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
408,13-17,Dry,Sensitivity,Fair,"Niacinamide,Salicylic Acid,Sulfur"
409,25-34,Combination,Aging,Deep,"Niacinamide,Salicylic Acid,Sulfur"
410,25-34,Dry,Aging,Tan,"Niacinamide,Salicylic Acid,Sulfur"
411,45-54,Combination,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
412,25-34,Oily,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
413,25-34,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
414,25-34,Combination,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
415,18-24,Oily,Acne,Tan,"Niacinamide,Salicylic Acid,Sulfur"
416,18-24,Combination,Blackheads,Deep,"Niacinamide,Salicylic Acid,Sulfur"
417,25-34,Combination,Aging,Tan,"Niacinamide,Salicylic Acid,Sulfur"
418,25-34,Dry,Aging,Light,"Niacinamide,Salicylic Acid,Sulfur"
419,25-34,Combination,Acne,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
420,13-17,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
421,25-34,Dry,Dullness,Medium,"Niacinamide,Salicylic Acid,Sulfur"
422,18-24,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
423,18-24,Dry,Acne,Tan,"Niacinamide,Salicylic Acid,Sulfur"
424,35-44,Combination,Uneven skin tones,Deep,"Niacinamide,Salicylic Acid,Sulfur"
425,25-34,Combination,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
426,18-24,Dry,Blackheads,Olive,"Niacinamide,Salicylic Acid,Sulfur"
427,25-34,Combination,Aging,Light,"Niacinamide,Salicylic Acid,Sulfur"
428,25-34,Normal,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
429,25-34,Normal,Blackheads,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
430,25-34,Oily,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
431,18-24,Oily,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
432,25-34,Combination,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
433,18-24,Oily,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
434,25-34,Combination,Acne,Deep,"Niacinamide,Salicylic Acid,Sulfur"
435,35-44,Oily,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
436,25-34,Combination,Dullness,Light,"Niacinamide,Salicylic Acid,Sulfur"
437,18-24,Oily,Acne,Tan,"Niacinamide,Salicylic Acid,Sulfur"
438,35-44,Oily,Blackheads,Light,"Niacinamide,Salicylic Acid,Sulfur"
439,25-34,Oily,Acne,Deep,"Niacinamide,Salicylic Acid,Sulfur"
440,25-34,Oily,Acne,Tan,"Niacinamide,Salicylic Acid,Sulfur"
441,18-24,Dry,Aging,Tan,"Niacinamide,Salicylic Acid,Sulfur"
442,25-34,Normal,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
443,55-120,Combination,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
444,25-34,Combination,Acne,Medium,"Niacinamide,Salicylic Acid,Sulfur"
445,18-24,Dry,Dark circles,Fair,"Niacinamide,Salicylic Acid,Sulfur"
446,18-24,Dry,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
447,35-44,Oily,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
448,25-34,Combination,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
449,25-34,Dry,Acne,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
450,25-34,Normal,Aging,Medium,"Niacinamide,Salicylic Acid,Sulfur"
451,25-34,Dry,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
452,35-44,Dry,Blackheads,Fair,"Niacinamide,Salicylic Acid,Sulfur"
453,55-120,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
454,18-24,Combination,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
455,25-34,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
456,18-24,Oily,Acne,Deep,"Niacinamide,Salicylic Acid,Sulfur"
457,25-34,Combination,Aging,Fair,"Niacinamide,Salicylic Acid,Sulfur"
458,25-34,Dry,Dullness,Light,"Niacinamide,Salicylic Acid,Sulfur"
459,25-34,Dry,Aging,Fair,"Niacinamide,Salicylic Acid,Sulfur"
460,25-34,Normal,Blackheads,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
461,25-34,Combination,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
462,18-24,Normal,Blackheads,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
463,25-34,Normal,Dark circles,Dark,"Niacinamide,Salicylic Acid,Sulfur"
464,25-34,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
465,18-24,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
466,25-34,Oily,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
467,13-17,Combination,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
468,18-24,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
469,45-54,Combination,Aging,Tan,"Niacinamide,Salicylic Acid,Sulfur"
470,13-17,Combination,Aging,Fair,"Niacinamide,Salicylic Acid,Sulfur"
471,25-34,Dry,Acne,Medium,"Niacinamide,Salicylic Acid,Sulfur"
472,25-34,Dry,Aging,Light,"Niacinamide,Salicylic Acid,Sulfur"
473,25-34,Oily,Acne,Medium,"Niacinamide,Salicylic Acid,Sulfur"
474,25-34,Combination,Acne,Deep,"Niacinamide,Salicylic Acid,Sulfur"
475,18-24,Oily,Acne,Tan,"Niacinamide,Salicylic Acid,Sulfur"
476,18-24,Dry,Sun damage,Fair,"Niacinamide,Salicylic Acid,Sulfur"
477,25-34,Combination,Sensitivity,Medium,"Niacinamide,Salicylic Acid,Sulfur"
478,35-44,Dry,Redness,Fair,"Niacinamide,Salicylic Acid,Sulfur"
479,18-24,Combination,Acne,Medium,"Niacinamide,Salicylic Acid,Sulfur"
480,35-44,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
481,25-34,Combination,Sensitivity,Fair,"Niacinamide,Salicylic Acid,Sulfur"
482,18-24,Combination,Acne,Medium,"Niacinamide,Salicylic Acid,Sulfur"
483,35-44,Combination,Acne,Olive,"Niacinamide,Salicylic Acid,Sulfur"
484,13-17,Combination,Acne,Fair,"Niacinamide,Salicylic Acid,Sulfur"
485,25-34,Combination,Acne,Porcelain,"Niacinamide,Salicylic Acid,Sulfur"
486,18-24,Combination,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
487,18-24,Combination,Dullness,Olive,"Niacinamide,Salicylic Acid,Sulfur"
488,13-17,Dry,Aging,Light,"Niacinamide,Salicylic Acid,Sulfur"
489,35-44,Dry,Acne,Light,"Niacinamide,Salicylic Acid,Sulfur"
